payroll (M's),HR,W,ERA,WinPercent,divID,H
87.032933,194,79,4.19,0.487654321,C,1506
94.424499,166,66,4.74,0.407407407,C,1496
99.670332,151,85,4.04,0.524691358,C,1530
118.345833,184,97,3.87,0.602484472,C,1552
134.809,161,83,3.84,0.51552795,C,1398
146.609,149,75,4.18,0.462962963,C,1414
125.047329,148,71,4.33,0.438271605,C,1423
88.197033,137,61,4.51,0.37654321,C,1297
100.567726,172,66,4,0.407407407,C,1307
65.5225,157,73,3.91,0.450617284,C,1315
115.87931,171,97,3.36,0.598765432,C,1341
154.067668,199,103,3.15,0.639751553,C,1409
8.359917,114,89,3.71,0.552795031,W,1385
11.906388,144,86,3.91,0.530864198,W,1404
9.2815,192,84,4.24,0.518518519,W,1478
8.888409,122,87,3.35,0.540372671,W,1334
11.072,128,75,3.73,0.462962963,W,1362
14.37,125,91,3.39,0.561728395,W,1466
26.305333,164,74,3.83,0.456790123,W,1419
35.931499,99,90,3.46,0.555555556,W,1418
44.879666,137,73,4.51,0.450617284,W,1457
40.961833,124,66,3.78,0.578947368,C,1142
43.14467,161,85,4.03,0.590277778,C,1326
42.526334,191,81,4.32,0.5,C,1398
49.768,142,76,4.41,0.469135802,C,1386
23.005,138,77,4.44,0.475308642,C,1441
33.962761,209,96,3.98,0.588957055,C,1536
46.8672,200,85,4.33,0.524691358,C,1545
48.986,176,66,4.77,0.407407407,C,1464
45.05039,169,78,4.27,0.481481481,C,1386
59.355667,182,69,5.09,0.425925926,C,1349
46.61525,194,76,5.19,0.469135802,C,1380
61.892583,222,73,5.15,0.450617284,C,1453
60.909519,217,80,4.51,0.49382716,C,1419
68.52498,204,72,4.94,0.444444444,C,1496
74.117695,187,74,4.55,0.456790123,C,1351
73.5585,158,78,4.18,0.481481481,C,1349
71.761542,188,91,4.01,0.561728395,C,1515
75.947134,183,79,4.16,0.487654321,C,1438
82.203616,172,97,3.34,0.598765432,C,1377
106.404462,155,90,3.38,0.555555556,C,1370
108.2175,131,76,3.59,0.469135802,C,1282
113.072286,167,64,4.33,0.395061728,C,1382
88.940059,164,68,4.91,0.419753086,C,1403
6.551666,116,60,4.91,0.37037037,E,1465
7.8095,157,84,4.58,0.518518519,E,1620
8.51375,187,61,5.28,0.37654321,E,1476
8.9365,134,78,4.16,0.481481481,E,1435
9.0945,127,73,3.65,0.450617284,E,1340
14.487,110,77,4.26,0.475308642,E,1465
17.635,79,57,4.23,0.351851852,E,1390
9.373044,127,76,4.11,0.469135802,E,1495
18.561,141,76,4.58,0.469135802,E,1547
30.4905,167,66,4.36,0.584070796,C,1165
37.937835,207,100,3.83,0.694444444,C,1461
48.10736,218,99,4.34,0.614906832,C,1665
56.80246,220,86,4.73,0.534161491,C,1589
60.800166,198,89,4.44,0.549382716,C,1530
72.978462,209,97,4.89,0.598765432,C,1629
75.880771,221,90,4.84,0.555555556,C,1639
93.152001,212,91,4.64,0.561728395,C,1559
78.909449,192,74,4.91,0.456790123,C,1349
48.584834,158,68,4.21,0.419753086,C,1413
34.3193,184,80,4.81,0.49382716,C,1565
41.5025,207,93,3.61,0.574074074,C,1522
56.0315,196,78,4.41,0.481481481,C,1576
61.673267,178,96,4.05,0.592592593,C,1504
78.970066,171,81,4.45,0.5,C,1455
81.579166,161,65,5.06,0.401234568,C,1468
61.203966,128,69,4.3,0.425925926,C,1362
48.776566,154,80,4.23,0.49382716,C,1380
78.4303,136,68,4.78,0.419753086,C,1385
75.7718,171,92,3.82,0.567901235,C,1391
82.151899,142,85,3.56,0.524691358,C,1411
87.663766,141,81,3.67,0.50310559,C,1395
74.3119,185,94,3.84,0.583850932,C,1435
10.3535,142,67,5.41,0.413580247,W,1507
23.887333,125,53,5.15,0.452991453,W,1098
34.154717,200,77,4.97,0.534722222,W,1406
40.179823,221,83,5.59,0.512345679,W,1607
43.559667,239,83,5.25,0.512345679,W,1611
50.484648,183,77,4.99,0.475308642,W,1640
61.935837,223,72,6.01,0.444444444,W,1644
61.11119,161,82,5.26,0.50617284,W,1664
71.541334,213,73,5.29,0.450617284,W,1663
56.851043,152,73,5.2,0.450617284,W,1508
67.179667,198,74,5.2,0.456790123,W,1472
65.445167,202,68,5.54,0.419753086,W,1531
47.839,150,67,5.13,0.413580247,W,1477
41.233,157,76,4.66,0.469135802,W,1504
54.041,171,90,4.32,0.552147239,W,1591
68.6555,160,74,4.77,0.456790123,W,1462
75.201,190,92,4.22,0.567901235,W,1408
84.227,173,83,4.14,0.512345679,W,1452
88.148071,163,73,4.43,0.450617284,W,1429
78.069571,166,64,5.22,0.395061728,W,1526
74.409071,159,74,4.44,0.456790123,W,1511
95.4035,186,66,4.84,0.407407407,W,1551
95.6886,186,68,5.04,0.419753086,W,1479
112.645071,204,75,4.91,0.462962963,W,1544
10.348143,202,84,3.78,0.52173913,E,1413
12.335714,198,87,4.02,0.537037037,E,1447
12.122881,225,98,4.02,0.604938272,E,1535
12.869571,143,88,3.71,0.543209877,E,1358
15.146404,116,59,4.53,0.364197531,E,1315
17.593238,172,79,4.39,0.487654321,E,1418
23.838333,209,84,4.51,0.518518519,E,1372
27.322834,182,75,4.6,0.462962963,E,1411
38.150165,178,85,4.65,0.524691358,E,1546
41.446501,161,53,5.38,0.460869565,E,1048
37.044168,159,60,5.49,0.416666667,E,1204
23.438,204,53,6.38,0.327160494,E,1413
17.272,176,79,4.56,0.487654321,E,1415
24.065,165,65,4.93,0.401234568,C,1494
36.489666,212,69,5.17,0.428571429,C,1433
58.265167,177,79,4.71,0.487654321,C,1553
53.416167,139,66,5.01,0.407407407,C,1439
55.048,124,55,4.92,0.341614907,C,1340
49.168,153,43,5.3,0.265432099,C,1312
46.832,201,72,4.93,0.444444444,C,1531
69.092,168,71,4.51,0.438271605,C,1521
82.612866,203,95,3.84,0.586419753,C,1548
94.800369,177,88,4.57,0.543209877,C,1652
137.685196,200,74,4.9,0.456790123,C,1529
115.085145,183,86,4.29,0.527607362,C,1443
122.864928,152,81,4.3,0.5,C,1515
105.700231,169,95,4.04,0.586419753,C,1540
132.3,163,88,3.75,0.543209877,C,1467
145.9895,176,93,3.61,0.574074074,C,1625
152.8555,155,90,4.01,0.555555556,C,1557
172.28475,151,74,4.64,0.459627329,C,1515
194.876481,211,86,4.24,0.534161491,C,1476
19.330545,94,64,4.13,0.395061728,E,1356
21.633,94,51,4.5,0.443478261,E,1043
24.515781,144,67,4.27,0.468531469,E,1278
31.0225,150,80,3.95,0.49382716,E,1413
48.6925,136,92,3.83,0.567901235,E,1410
41.322667,114,54,5.18,0.333333333,E,1381
21.085,128,64,4.9,0.395061728,E,1465
19.872,160,79,4.59,0.49068323,E,1441
35.7625,166,76,4.32,0.469135802,E,1461
41.979917,146,79,4.36,0.487654321,E,1433
49.45,157,91,4.04,0.561728395,E,1459
42.143042,148,83,4.1,0.512345679,E,1447
60.408834,128,83,4.16,0.512345679,E,1499
14.6715,182,78,4.37,0.481481481,E,1454
30.507,201,71,4.94,0.438271605,E,1504
21.8115,208,84,4.43,0.52173913,E,1397
36.834,159,87,4.29,0.537037037,E,1493
57.029719,152,80,4.08,0.49382716,E,1403
56.944,149,72,3.95,0.444444444,E,1358
9.993051,121,83,3.66,0.512345679,W,1457
9.873276,125,96,3.15,0.592592593,W,1388
12.608371,122,76,3.84,0.469135802,W,1386
12.286167,96,82,3.41,0.50617284,W,1338
15.0295,97,86,3.64,0.530864198,W,1316
18.33,94,75,3.61,0.462962963,W,1301
12.8525,79,65,4,0.401234568,W,1345
15.4075,96,81,3.72,0.5,W,1350
30.2105,138,85,3.49,0.524691358,W,1459
33.126,120,66,3.97,0.573913043,C,1099
34.169834,109,76,4.06,0.527777778,C,1403
28.487,129,82,4.37,0.50617284,C,1445
34.7775,133,84,3.66,0.518518519,C,1427
42.374,166,102,3.5,0.62962963,C,1578
54.914,168,97,3.83,0.598765432,C,1463
51.289111,249,72,5.42,0.444444444,C,1547
60.612667,208,93,4.37,0.574074074,C,1500
63.448417,167,84,4,0.518518519,C,1441
71.04,191,87,3.86,0.537037037,C,1466
75.397,187,92,4.05,0.567901235,C,1458
76.779,161,89,3.51,0.549382716,C,1400
88.694435,174,82,4.08,0.50617284,C,1407
87.759,167,73,4.68,0.450617284,C,1457
88.930414,167,86,4.36,0.534161491,C,1432
102.996414,142,74,4.54,0.456790123,C,1415
92.3555,108,76,4.09,0.469135802,C,1348
70.694,95,56,4.51,0.345679012,C,1442
60.651,146,55,4.56,0.339506173,C,1276
17.8907,148,51,4.79,0.314814815,W,1307
35.1163,163,70,4.11,0.432098765,W,1317
72.2562,230,86,3.57,0.530864198,W,1363
94.8937,198,84,4.06,0.518518519,W,1367
9.321179,154,91,3.49,0.561728395,W,1384
13.043698,137,76,3.82,0.469135802,W,1403
11.828056,168,83,3.86,0.512345679,W,1443
14.556562,121,84,3.65,0.52173913,W,1419
18.683568,101,92,3.55,0.567901235,W,1428
23.361084,100,75,3.93,0.465838509,W,1465
26.319834,117,82,3.92,0.50617284,W,1475
33.893834,75,72,3.81,0.444444444,W,1411
41.346167,125,84,4.04,0.518518519,W,1455
40.541334,100,64,4.23,0.556521739,C,1051
29.532834,119,70,4.49,0.486111111,C,1275
20.28125,123,75,4.55,0.465838509,C,1477
34.655,158,67,4.7,0.416149068,C,1478
36.8625,134,72,5.15,0.447204969,C,1459
26.225,151,64,5.35,0.397515528,C,1584
23.433,150,77,5.48,0.475308642,C,1644
35.4225,152,65,4.87,0.401234568,C,1503
47.257,140,62,5.21,0.382716049,C,1415
40.518,162,83,5.05,0.512345679,C,1526
47.609,150,58,5.15,0.358024691,C,1432
36.881,126,56,5.49,0.345679012,C,1445
47.294,124,62,5.65,0.382716049,C,1515
67.1165,102,69,4.48,0.425925926,C,1447
58.2455,120,75,4.48,0.462962963,C,1507
70.519333,144,65,4.83,0.401234568,C,1432
71.40521,121,67,4.97,0.413580247,C,1534
35.712,129,71,4.44,0.438271605,C,1560
60.916225,131,72,4.3,0.444444444,C,1492
80.091725,112,86,3.45,0.530864198,C,1443
74.594075,95,89,3.51,0.549382716,C,1456
112.107025,139,95,3.73,0.586419753,C,1497
131.487125,147,81,4.21,0.5,C,1450
94.867822,147,95,3.68,0.586419753,W,1520
103.472,159,89,4.04,0.549382716,W,1539
109.251333,123,94,4.23,0.580246914,W,1578
119.216333,159,100,3.99,0.617283951,W,1486
113.709,173,97,4.45,0.598765432,W,1604
104.963866,155,80,4.04,0.49382716,W,1363
138.543166,155,86,3.57,0.530864198,W,1394
154.485166,187,89,4.02,0.549382716,W,1518
124.17475,164,78,4.23,0.481481481,W,1476
121.98825,155,98,3.58,0.604938272,W,1464
120.005415,176,85,3.94,0.524691358,W,1331
137.251333,156,74,4.28,0.456790123,W,1410
10.967917,129,95,2.96,0.586419753,W,1434
14.913776,130,73,3.76,0.450617284,W,1373
13.675403,125,73,3.72,0.450617284,W,1389
16.850515,99,94,2.96,0.583850932,W,1346
21.071562,89,77,2.95,0.48125,W,1313
21.318704,129,86,3.72,0.530864198,W,1436
32.790664,108,93,3.06,0.574074074,W,1366
44.788166,72,63,3.41,0.388888889,W,1333
39.331999,130,81,3.5,0.5,W,1458
38.000001,115,58,4.17,0.50877193,W,1055
39.273201,140,78,3.66,0.541666667,W,1303
35.355,150,90,3.46,0.555555556,W,1396
45.380304,174,88,3.62,0.543209877,W,1488
48.82,159,83,3.81,0.512345679,W,1374
80.862453,187,77,4.45,0.475308642,W,1480
87.924286,211,86,4.1,0.530864198,W,1408
109.105953,206,86,4.25,0.530864198,W,1399
94.850953,155,92,3.69,0.567901235,W,1464
105.57262,124,85,3.16,0.524691358,W,1328
92.902001,203,93,4.01,0.574074074,W,1450
83.039,149,71,4.38,0.438271605,W,1374
98.447187,153,88,4.23,0.543209877,W,1552
108.454524,129,82,4.2,0.50617284,W,1544
118.588536,137,84,3.68,0.518518519,W,1455
100.414592,145,95,3.41,0.586419753,W,1511
95.358016,120,80,4.01,0.49382716,W,1368
104.188999,117,82,3.54,0.50931677,W,1395
95.143575,116,86,3.34,0.530864198,W,1369
223.362196,138,92,3.25,0.567901235,W,1447
217.0146,134,94,3.4,0.580246914,W,1476
215.792,187,92,3.44,0.567901235,W,1346
221.28838,189,91,3.7,0.561728395,W,1376
118.078,137,69,4.09,0.425925926,E,1327
33.6019,95,62,3.71,0.382716049,E,1257
41.8369,122,77,3.78,0.475308642,E,1399
68.0565,120,71,4.02,0.438271605,E,1420
77.314202,128,79,4.05,0.49068323,E,1460
33.914904,152,74,4.63,0.456790123,C,1439
43.377395,165,74,5.07,0.459627329,C,1524
36.505333,177,73,4.63,0.450617284,C,1366
43.886833,209,68,4.64,0.419753086,C,1378
50.287833,139,56,4.73,0.345679012,C,1369
40.627,196,68,5.02,0.419753086,C,1423
27.5285,135,67,4.24,0.416149068,C,1358
39.934833,175,81,3.97,0.5,C,1413
57.568333,180,75,4.82,0.462962963,C,1400
70.9865,231,83,4.41,0.512345679,C,1455
80.937499,198,90,3.85,0.555555556,C,1398
80.182502,182,80,4.83,0.49382716,C,1447
81.108278,182,77,4.58,0.475308642,C,1471
85.497333,185,96,3.63,0.592592593,C,1422
97.653944,202,83,4.22,0.512345679,C,1442
76.947033,157,74,3.84,0.456790123,C,1381
101.217,150,82,3.67,0.50617284,C,1366
100.85,145,68,4.28,0.419753086,C,1378
